timestamp,open,high,low,close,volume
2022-11-03,3.5100,3.8800,3.4900,3.8200,18380105
2022-11-02,3.7900,3.9100,3.5800,3.5800,24229611
2022-11-01,3.9700,4.0350,3.7600,3.8200,29013299
2022-10-31,3.6000,4.1900,3.5700,4.0700,53085317
2022-10-28,3.5500,3.6500,3.4500,3.6300,12083924
2022-10-27,3.6600,3.7300,3.5200,3.5300,14493184
2022-10-26,3.4900,3.7800,3.4400,3.6700,23904132
2022-10-25,3.1900,3.6900,3.1900,3.5800,37851557
2022-10-24,3.3400,3.3400,3.1300,3.1600,14896197
2022-10-21,3.2900,3.4100,3.2100,3.3600,11778525
2022-10-20,3.2100,3.4600,3.1900,3.2800,13336163
2022-10-19,3.3500,3.4400,3.2400,3.2500,12590033
2022-10-18,3.4600,3.4900,3.3150,3.3800,14018624
2022-10-17,3.2300,3.5300,3.2300,3.3700,24818125
2022-10-14,3.2600,3.4000,3.1300,3.1400,17526605
2022-10-13,2.9100,3.2700,2.9100,3.2600,22985716
2022-10-12,2.9000,3.0800,2.8300,3.0800,16374920
2022-10-11,3.0400,3.1000,2.8400,2.9000,23875194
2022-10-10,3.1500,3.2750,3.0100,3.0700,21634194
2022-10-07,4.0600,4.0900,3.1300,3.1700,118925034
2022-10-06,2.9200,3.9300,2.8800,3.9000,103359356
2022-10-05,2.9350,2.9900,2.8300,2.9800,11323611
2022-10-04,2.9500,3.0570,2.9300,3.0000,15913419
2022-10-03,2.7900,2.9000,2.7300,2.8700,14575846
2022-09-30,2.8400,2.9150,2.7500,2.7500,11862163
2022-09-29,2.9600,2.9700,2.8100,2.8600,11833696
2022-09-28,2.8300,3.0300,2.7900,3.0100,14257892
2022-09-27,2.7900,2.8800,2.7200,2.8000,17735675
2022-09-26,2.7000,2.9370,2.6700,2.7000,19229199
2022-09-23,2.7450,2.7750,2.6500,2.7200,21132662
2022-09-22,2.9900,3.0000,2.8000,2.8000,21053311
2022-09-21,3.1000,3.1400,2.9800,2.9800,19437390
2022-09-20,3.1600,3.2100,3.0800,3.0800,12245059
2022-09-19,3.1800,3.2300,3.1200,3.2200,10885564
2022-09-16,3.3300,3.3401,3.1700,3.1900,14584073
2022-09-15,3.3600,3.5200,3.3300,3.3900,16737114
2022-09-14,3.3000,3.3900,3.2700,3.3800,10032820
2022-09-13,3.3350,3.4100,3.3000,3.3200,14507797
2022-09-12,3.4200,3.5300,3.3700,3.4900,14253350
2022-09-09,3.3500,3.4900,3.3300,3.4000,18828911
2022-09-08,3.1800,3.3000,3.1200,3.3000,18047319
2022-09-07,3.1800,3.3200,3.1400,3.2200,26637123
2022-09-06,3.4050,3.4100,3.1600,3.1700,23460746
2022-09-02,3.6800,3.6800,3.3500,3.3600,22856176
2022-09-01,3.7300,3.7650,3.5100,3.5800,17013247
2022-08-31,3.7700,3.8250,3.6900,3.8000,15377025
2022-08-30,3.9500,3.9600,3.6850,3.7300,17028295
2022-08-29,3.7800,4.0000,3.7100,3.8900,17896834
2022-08-26,4.0600,4.0800,3.8000,3.8300,21520112
2022-08-25,3.8150,4.1900,3.7600,4.1200,35868387
2022-08-24,3.6200,3.8100,3.5400,3.7600,19849954
2022-08-23,3.6150,3.6850,3.5200,3.5800,15152924
2022-08-22,3.6600,3.6600,3.5100,3.5400,21924844
2022-08-19,3.9100,3.9800,3.7100,3.7400,24193940
2022-08-18,4.0900,4.1100,3.9200,4.0300,19964185
2022-08-17,4.2000,4.5200,4.0500,4.0550,46225283
2022-08-16,4.3300,4.4800,4.1200,4.2000,43558072
2022-08-15,4.0000,4.3800,3.9900,4.2900,41284840
2022-08-12,3.9600,4.0600,3.8300,4.0300,23529359
2022-08-11,4.1800,4.2700,3.8500,3.8500,28716769
2022-08-10,4.0000,4.1300,3.8400,4.0600,30106140
2022-08-09,4.1700,4.2250,3.8200,3.8400,32014395
2022-08-08,3.9300,4.4300,3.9000,4.3000,48097513
2022-08-05,3.8800,4.0200,3.8000,3.9000,24705521
2022-08-04,3.8300,4.1400,3.7900,4.0300,28700953
2022-08-03,3.9700,4.0500,3.8000,3.8800,25686756
2022-08-02,3.4200,3.9500,3.3700,3.9000,36341711
2022-08-01,3.5500,3.5900,3.4100,3.4200,20665469
2022-07-29,3.4800,3.6700,3.4100,3.6500,23686807
2022-07-28,3.3000,3.6600,3.2800,3.6500,38507913
2022-07-27,3.4400,3.4500,3.1700,3.2600,32419749
2022-07-26,3.4900,3.5800,3.3600,3.3800,19538392
2022-07-25,3.5400,3.6500,3.3700,3.5400,22597814
2022-07-22,3.7300,3.7500,3.4600,3.5000,24532374
2022-07-21,4.1200,4.1600,3.7200,3.7500,52847640
2022-07-20,3.5500,4.0900,3.5300,3.9400,64501396
2022-07-19,3.4300,3.6700,3.3100,3.5600,40156349
2022-07-18,3.3700,3.6487,3.3100,3.4000,36298830
2022-07-15,3.6400,3.7200,3.2600,3.3000,36462657
2022-07-14,3.1700,3.8100,3.0800,3.6900,64050813
2022-07-13,3.1700,3.2600,3.1100,3.2200,12552880
2022-07-12,3.1800,3.3000,3.1300,3.2200,13342153
2022-07-11,3.3800,3.4493,3.1500,3.1500,13040202
2022-07-08,3.4900,3.6200,3.4100,3.4200,15573929
2022-07-07,3.4700,3.5900,3.3750,3.5800,15944500
2022-07-06,3.2200,3.5400,3.2200,3.5000,21705203
2022-07-05,3.0800,3.2400,3.0000,3.2400,18102253
2022-07-01,3.1200,3.2200,3.0600,3.1500,12409114
2022-06-30,3.2600,3.2670,3.0700,3.1200,23981746
2022-06-29,3.4200,3.4200,3.2700,3.3100,11043288
2022-06-28,3.6600,3.7200,3.4100,3.4400,17822686
2022-06-27,3.6300,3.6800,3.5100,3.6400,12514894
2022-06-24,3.6500,3.7200,3.5100,3.6100,21919138
2022-06-23,3.2300,3.5800,3.1400,3.5800,26400981
2022-06-22,3.2000,3.3500,3.1900,3.2100,15074715
2022-06-21,3.2950,3.3650,3.2500,3.2700,14347444
2022-06-17,3.1000,3.2850,3.0800,3.2000,18003911
2022-06-16,3.1100,3.1400,3.0200,3.1100,20402376
2022-06-15,3.1900,3.2586,3.0400,3.2000,30640771
2022-06-14,3.1500,3.3200,3.1000,3.1600,21305983
